"BC_HKB0112_933_T"	"BC_HKB0775_1470_T"	"HKB0036_3006_T"	"HKB0210_3006_T"	"BC_HKB0187_1214_T"	"BC_HKB0759_1488_T"	"BC_HKB2107_1620_T"	"BC_HKB2116_1671_T"	"HKB0004_3006_T"	"HKB0019_3006_T"	"HKB0092_3000_T"	"HKB0161_3001_T"	"HKB0211_3002_T"	"BC_HKB0022_649_T"	"BC_HKB0199_1263_T"	"BC_HKB0543_1306_T"	"BC_HKB0662_1294_T"	"BC_HKB0728_1447_T"	"BC_HKB0779_1486_T"	"BC_HKB0831_1520_T"	"BC_HKB0873_1549_T"	"BC_HKB0890_1550_T"	"BC_HKB0892_1559_T"	"BC_HKB0899_M1605_T"	"BC_HKB1385_1721_T"	"BC_HKB2109_1628_T"	"HKB0007_3005_T"	"HKB0008_3006_T"	"HKB0023_3006_T"	"HKB0035_3006_T"	"HKB0040_3002_T"	"HKB0044_3006_T"	"HKB0049_3006_T"	"HKB0050_3005_T"	"HKB0052_3000_T"	"HKB0054_3000_T"	"HKB0056_3002_T"	"HKB0065_3006_T"	"HKB0067_3006_T"	"HKB0069_3000_T"	"HKB0074_3000_T"	"HKB0079_3006_T"	"HKB0082_3006_T"	"HKB0084_3000_T"	"HKB0091_3001_T"	"HKB0094_3006_T"	"HKB0098_3005_T"	"HKB0101_3000_T"	"HKB0120_3000_T"	"HKB0127_3006_T"	"HKB0129_3000_T"	"HKB0132_3006_T"	"HKB0134_3006_T"	"HKB0155_3000_T"	"HKB0158_3006_T"	"HKB0162_3006_T"	"HKB0167_3006_T"	"HKB0182_3006_T"	"HKB0186_3000_T"	"HKB0194_3006_T"	"HKB0207_3001_T"	"HKB0214_3006_T"	"HKB0220_3000_T"	"HKB0573_3000_T"	"HKB0579_3000_T"	"HKB0650_3000_T"	"HKB0659_3000_T"	"HKB0674_3000_T"	"HKB0683_3000_T"	"HKB0710_3000_T"	"HKB0718_3000_T"	"HKB0719_3002_T"	"HKB0736_3000_T"	"HKB0737_3000_T"	"HKB0751_3000_T"	"HKB0752_3000_T"	"BC_HKB0056_809_T"	"BC_HKB0215_1134_T"	"BC_HKB0582_1333_T"	"BC_HKB0730_1441_T"	"BC_HKB0754_1481_T"	"BC_HKB0757_1496_T"	"BC_HKB0763_1511_T"	"BC_HKB0772_1460_T"	"BC_HKB0828_M1542_T"	"BC_HKB0830_1541_T"	"BC_HKB0838_1563_T"	"BC_HKB0874_1537_T"	"BC_HKB0876_1543_T"	"BC_HKB0895_1582_T"	"BC_HKB0915_M1647_T"	"BC_HKB0921_1575_T"	"BC_HKB1365_M1665_T"	"BC_HKB1366_1663_T"	"BC_HKB2106_1619_T"	"BC_HKB2113_1657_T"	"BC_HKB2118_1689_T"	"BC_HKB2119_1690_T"	"BC_HKB2128_1735_T"	"HKB0086_3006_T"	"HKB0157_3006_T"
"DEFB129"	0	0	0	0	0	0	0	0	0	0	0	0	0.16349873228288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111031312388744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR6C68"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0976107966264223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FAM24A"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4905701304462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.22650852980868	0	0	0	0	0	0	0	0	0	1.74416109557041	0	0	0	0	0	0	0	0	0	0
"LOC254312"	3.85996954822103	2.60880924267552	0.0565835283663675	0	0	0	0	0	0	0	0	0	0	3.38543103719352	4.68985823631925	0	2.98913900736823	1.38956681176273	0	1.46466826700344	3.09254574154357	0	1.38956681176273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.150559676575381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.070389327891398	0	0	0	0	0	0	0	0	0	0	1.39506279951758	2.0703893278914	0	0	0	5.43629511983936	0	1.4541758931858	2.50080205305716	0	3.80838505065609	0	1.57046293102604	1.26903314645524	1.20163386116965	1.25096157353322	0	0	2.06695024392463	3.24640808724638	0	0	0	0	0
"BCORL2"	0.526068811667588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR2T2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.070389327891398	0	0	0	0	0.176322772640463	0	0	0	0	0	0	0	0	0.0565835283663675	0.189033824390017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.443606651475615	0	0	0	0	0	0	0.070389327891398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR4F6"	0	0	0	0	0	0	0	0	0	0	0.0840642647884745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.189033824390017	0	0	0	0	0.0840642647884745	0	0	0.070389327891398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR52A4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HNRNPCL1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR2T34"	0	0	0.214124805352847	0	0	0	0	0	0	0	0	0	0.137503523749935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.070389327891398	0	0	0	0	0	0	0	0	0	0	0.070389327891398	0	0.0426443374084937	0	0	0	0	0	0	0.0426443374084937	0	0	0	0	0	0	0.0976107966264223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HES3"	0	0	0	0.22650852980868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111031312388744
"OR8G2"	0	0	0.0565835283663675	0	0	0	0	0	0	0	0.613531652917927	0	0.111031312388744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0976107966264223	0	0.575312330687437	0	0	0.189033824390017	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0840642647884745	0	0	0	0	0.176322772640463	0	0	0.189033824390017	0	0	0	0	0	0	0.070389327891398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.584962500721156
"MRGPRX1"	0	0	0	0	0	0	0	0	0	0	0.0565835283663675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.30451104180995	0	0	0
"KRTAP10.10"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR4F15"	0	0	0.111031312388744	0	0	0	0	0	0	0	0.0840642647884745	0	0.20163386116965	0	0	0	0	0	0	0	0	0	0	0	0	0	0.070389327891398	0	0	0	0	0	0	0	0	0.0840642647884745	0	0	0	0	0	0	0	0.111031312388744	0	0	0	0	0.0840642647884745	0	0	0	0.137503523749935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CXorf51"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.150559676575381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.189033824390017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR6C3"	0	0	0.0565835283663675	0	0	0	0	0	0	0	0	0	0.20163386116965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0840642647884745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
