"ID"	"S01"	"S02"	"S03"	"S04"	"S05"
"HKB0004_3006_T"	0.00279889734900597	0.0174012053704304	0.000578877555507471	0.0788324068120708	0.155769818607616
"HKB0005_3001_T"	0.0061897219177411	7.95075007596099e-15	7.95075007596099e-15	0.0310354104419833	0.0991516806234282
"HKB0006_3006_T"	1.07676844086096e-14	0.0211867673588452	0.0213223316687214	0.0296402504138143	0.352334387115309
"HKB0007_3005_T"	0.133894852631175	1.35002780545591e-14	0.0393794153350323	0.0501804295234757	0.227325351100282
"HKB0008_3006_T"	0.0371002177496741	0.24056024015767	0.138125439003013	0.1471497774733	0.0186858189984796
"HKB0016_3006_T"	0.086502495647008	1.71756566106034e-14	0.0815463220166653	0.189771635109896	0.20970081127032
"HKB0019_3006_T"	0.00905333625759058	1.38770408258954e-14	0.0300227731998889	0.0304217308309567	0.093917934895746
"HKB0023_3006_T"	0.000590608120001933	1.72183038266292e-14	0.134212542239804	0.0542946465147302	0.175377758760391
"HKB0031_3001_T"	0.00485392430487958	0.203176267579277	1.5570792504241e-14	0.132908042089938	5.4622930298751e-05
"HKB0033_3006_T"	0.00107750583558026	2.30820225935391e-14	0.163782884721639	0.0575520134529266	0.156269652369902
"HKB0035_3006_T"	0.0691661732379144	1.64662262887921e-14	1.64662262887921e-14	0.0201363408292791	0.134597012019716
"HKB0036_3006_T"	0.0381425782320829	6.56121857594317e-15	0.0210245759988112	0.013586830913198	0.0475784556971374
"HKB0038_3006_T"	1.50184821126596e-14	0.0145394169136254	0.148090418803025	0.015252017008973	0.0124791029705695
"HKB0040_3002_T"	0.677188387807106	9.64801873294068e-15	0.0347916616685035	0.0114833382889722	0.0459194847016316
"HKB0044_3006_T"	0.41993112459637	0.00288685658464062	8.401104211978e-15	0.0184187654323564	0.027068355220124
"HKB0049_3006_T"	0.0634953343671896	0.108690131124224	0.367733975830706	0.110922868055468	0.0268457161176254
"HKB0050_3005_T"	0.476361926850135	1.62279111056937e-14	1.62279111056937e-14	0.00751789707771363	0.0212665840216277
"HKB0052_3000_T"	0.0617544646285396	0.132301556452217	0.259829882983723	0.20045865913369	0.0359827006369581
"HKB0054_3000_T"	0.457915188314398	0.0327188068797376	0.0912091221079691	0.0439328199563871	0.199879338381813
"HKB0056_3002_T"	0.0618708840006419	8.46814706865671e-15	8.46814706865671e-15	0.258031631853663	0.18586305078188
"HKB0064_3004_T"	5.22468047373633e-05	0.108059029823907	0.156478126975946	0.0981289422572262	0.157819579917676
"HKB0065_3006_T"	0.0900702567346597	0.0555710508651457	0.000338744898140137	0.01217696734852	0.127238079518114
"HKB0067_3006_T"	0.10332115863483	0.000136857722035559	1.8478061152741e-14	0.0195557236085853	0.100648404591003
"HKB0069_3000_T"	0.49965439968742	0.0417485907438374	1.33568204700177e-14	0.113596969353424	0.011217596414023
"HKB0070_3002_T"	0.163328000383746	0.0825662247870402	1.60021624862198e-14	0.0854109053252566	0.107493340627815
"HKB0074_3000_T"	0.179980178426209	0.122496656297637	0.115878278720866	0.275408748031485	0.0576991070202579
"HKB0078_3000_T"	0.0122347144567717	1.6532148809775e-14	0.051061575057765	0.287138894925035	0.00315341423061176
"HKB0079_3006_T"	0.375378475472453	8.89607821866685e-15	0.0154727998249054	0.0142559631296854	8.89607821866685e-15
"HKB0080_3006_T"	0.0101132438543671	0.0376998231786923	0.0302883801085961	0.0368108129399318	0.0952071345304848
"HKB0082_3006_T"	0.642666179194973	2.15552421261495e-09	0.0278841154762151	1.13622033332037e-14	0.0242541618424378
"HKB0084_3000_T"	0.191593458991248	0.0639122854451003	0.0966443130619194	0.140405637276741	0.0874819235816358
"HKB0086_3006_T"	1.75140119992808e-14	0.0281726836838835	0.0490335325626794	0.167967744983942	0.203699901835311
"HKB0088_3000_T"	0.210117240256681	1.42772766510612e-14	0.0320046435362993	0.199424574920732	0.144998859416854
"HKB0089_3001_T"	0.0659807942776227	1.19753742056166e-14	0.0592025835664914	0.0724678878178755	0.0155376238119055
"HKB0091_3001_T"	0.296880077974844	1.03961482142569e-14	0.0157714910164311	0.331644251232786	0.0509136644613674
"HKB0092_3000_T"	0.0065349548811831	1.2665285708064e-14	0.0244046285501835	0.0292078868731269	0.0971702058048052
"HKB0094_3006_T"	0.182860994798509	1.58859724776999e-14	1.58859724776999e-14	0.110694924204151	0.158188841709001
"HKB0096_3001_T"	1.30106917984436e-14	1.30106917984436e-14	1.30106917984436e-14	0.022319709127497	0.0105190699564172
"HKB0097_3000_T"	1.86683009790395e-14	0.0486417807274786	1.86683009790395e-14	0.0889713826937186	0.0491406628261299
"HKB0098_3005_T"	0.279289951991164	1.50419466645404e-14	0.0339219162392009	0.177546856239048	0.105818659698666
"HKB0100_3006_T"	8.77163980129058e-15	8.77163980129058e-15	0.0532713223368508	0.228259041844031	0.179088266380391
"HKB0101_3000_T"	0.0520164439018926	1.78848520033125e-14	0.177283252308067	0.157102189944982	0.119338915187507
"HKB0102_3006_T"	0.0494052036227938	0.0243438758175179	0.0572883447738026	0.0793251246923184	0.0647204038509196
"HKB0104_3006_T"	0.0105655513509931	9.69961104369056e-15	9.69961104369056e-15	9.69961104369056e-15	0.0133160233859517
"HKB0106_3006_T"	1.80550684188822e-14	0.00357330373224872	0.0143812379778663	0.0325437320147335	1.80550684188822e-14
